　０１２３４５６７８９ＡＢＣＤＥＦ
０・・・・・・・・・・・・・・・・　　
１・・・・・・・・・・・・・・・・
２・・・・炎・＿・・・・・・・・・
３・・・炎・炎・＿・・・・・・・・
４・・・・・・炎・・・・・・・・・
５＿・炎・・・炎・＿・・・・・・・
６・・・・・・・・・・・・・・・・
７・・・・・・・・・・・・・・・・

　０１２３４５６７８９ＡＢＣＤＥＦ
０＿・・・・・・・・・・・・・・・
１・・・・・・・炎＿・・・・・・・
２・・・・・・・炎＿・・・・・・・
３・・・・・・・・炎＿・・・・・・
４・・・・・・・・炎＿・・・・・・
５・・・・・・・・・炎＿・・・・・
６・・・・・・・・・炎＿・・・・・
７・・・・・・・・・・炎＿・・・・

00: 直線
＿: 3～6 の距離まっすぐのばす
炎: なし
Ｅ: 水平／垂直／なし
　０１２３４５６７８９ＡＢＣＤＥＦ　　０１２３４５６７８９ＡＢＣＤＥＦ
　・・・・・・・・・・・・・・・・　　・・・・・・・・・・・・・・・・
０・・・・・・・・・・・・・・・・　０・・・・・・・・・・・・・・・・
１・・・・・・・・・・・・・・・・　１＿＿＿＿Ｅ＿＿・・・・・・・・・
２・・・・・・・・・・・・・・・・　２・・・・・・・・・・・・・・・・
３・・・・・・・・・・・・・・・・　３・・・・・・・・・・・・・・・・
４・・・・・・・・・・・・・・・・　４・・・・・・・・・・・・・・・・
５＿＿＿＿Ｅ＿＿・・・・・・・・・　５・・・・・・・・・・・・・・・・
６・・・・・・・・・・・・・・・・　６・・・・・・・・・・・・・・・・
７・・・・・・・・・・・・・・・・　７・・・・・・・・・・・・・・・・

01: 階段
＿: 1〜2 の長さで1 段ずつ置く
炎: なし
Ｅ: 水平／垂直／なし
　０１２３４５６７８９ＡＢＣＤＥＦ　　０１２３４５６７８９ＡＢＣＤＥＦ
　・・・・・・・・・・・・・・・・　　・・・・・・・・・・・・・・・・
０・・・・・・・・・・・・・・・・　０・・・・・・・・・・・・・・・・
１・・・・・・・＿＿・・・・・・・　１＿・・・・・・・・・・・・・・・
２・・・・Ｅ＿＿・・・・・・・・・　２・＿＿Ｅ・・・・・・・・・・・・
３・・・＿＿・・・・・・・・・・・　３・・・＿＿・・・・・・・・・・・
４・＿＿・・・・・・・・・・・・・　４・・・・・＿＿・・・・・・・・・
５＿・・・・・・・・・・・・・・・　５・・・・・・・＿＿・・・・・・・
６・・・・・・・・・・・・・・・・　６・・・・・・・・・・・・・・・・
７・・・・・・・・・・・・・・・・　７・・・・・・・・・・・・・・・・

02: 高跳び
＿: ギリギリ届く範囲に置く
炎: なし
Ｅ: 垂直／なし
　０１２３４５６７８９ＡＢＣＤＥＦ　　０１２３４５６７８９ＡＢＣＤＥＦ
　・・・・・・・・・・・・・・・・　　・・・・・・・・・・・・・・・・
０・・・・・・・・・・・・・・・・　０・・・・・・・・・・・・・・・・
１・・・・・・・・・・・・・・・・　１＿＿・・・・・・・・・・・・・・
２・・・・・・＿・・・・・・・・・　２・・・・Ｅ・・・・・・・・・・・
３・・・・Ｅ・・・・・・・・・・・　３・・・・・・・・・・・・・・・・
４・・・・・・・・・・・・・・・・　４・・・・・・・・・・・・・・・・
５＿＿・・・・・・・・・・・・・・　５・・・・・・＿・・・・・・・・・
６・・・・・・・・・・・・・・・・　６・・・・・・・・・・・・・・・・
７・・・・・・・・・・・・・・・・　７・・・・・・・・・・・・・・・・

03: 幅跳び 
＿: ギリギリ届く範囲に置く
炎: なし
Ｅ: 垂直／なし
　０１２３４５６７８９ＡＢＣＤＥＦ　　０１２３４５６７８９ＡＢＣＤＥＦ
　・・・・・・・・・・・・・・・・　　・・・・・・・・・・・・・・・・
０・・・・・・・・・・・・・・・・　０・・・・・・・・・・・・・・・・
１・・・・・・・・・・・・・・・・　１＿＿・・・・・・・・・・・・・・
２・・・・・・・・・・・・・・・・　２・・・・・・・Ｅ・＿・・・・・・
３・・・・・・・・＿・・・・・・・　３・・・・・・・・・＿・・・・・・
４・・・・・・Ｅ・・・・・・・・・　４・・・・・・・・・・＿・・・・・
５＿＿・・・・・・・＿・・・・・・　５・・・・・・・・・・＿・・・・・
６・・・・・・・・・・・・・・・・　６・・・・・・・・・・・・・・・・
７・・・・・・・・・・・・・・・・　７・・・・・・・・・・・・・・・・

04: 足場
＿: 距離 2～3、高さ 2～3 の位置に 1～2 の長さでランダムに置く
炎: なし
Ｅ: 垂直／なし
　０１２３４５６７８９ＡＢＣＤＥＦ　　０１２３４５６７８９ＡＢＣＤＥＦ
　・・・・・・・・・・・・・・・・　　・・・・・・・・・・・・・・・・
０・・・・・・・・・・・・・・・・　０・・・・・・・・・・・・・・・・
１・・・・・・・・・・・・＿＿・・　１＿・・・・・・・・・・・・・・・
２・・・＿＿・・・・・・・・・・・　２・・・・・・・・＿＿・・・・・・
３・・・・・・Ｅ・・・・・・・・・　３・・・・・・Ｅ・・・・・・・・・
４・・・・・・・・＿＿・・・・・・　４・・・＿＿・・・・・・・・・・・
５＿・・・・・・・・・・・・・・・　５・・・・・・・・・・・・＿＿・・
６・・・・・・・・・・・・・・・・　６・・・・・・・・・・・・・・・・
７・・・・・・・・・・・・・・・・　７・・・・・・・・・・・・・・・・

05: 炎の道
＿: ジャンプ地点に 1、着地地点に 1 の長さで置く
炎: 1～4 の長さで置く
